EAINT-12153 - ??[eAuto-Application] Add Payment Channels for Pre-application and Application,,,,,,,,,,
TS No.,Scenario,Initial Steps,Pre-Application Payment,,Continuation Steps,Application Payment,,QA,Status (Pass/Fail),Remarks
,,,Test Steps,Expected Result,,Test Steps,Expected Result,,,
12153_TS1,"Payment Method : FPX (B2B)
Bank : Maybank, CIMB Bank
Payment Status : Success
","1. Open eAuto Login page and click ""Apply eAuto"". Complete Captcha verification
2. Fill in the Pre-Application form (Sdn Bhd / Bhd) and click next
3. Tick the Declaration statement box","1. Select FPX (B2B)
2. Select Bank (Maybank)
3. Click ""Submit and Pay""
4. Log in the payment sandbox
5. Complete TAC and choose Payment Status = Success
6. Complete payment
7. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the Fiuu sandbox will open the Maybank sandbox portal
2. After completing payment, system will display the confirmation page ""Pre-Application Submitted for Review""
3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
","1. BO - Open Application Listing and view Pre-Application tab
2. BO - Copy the Application Link and open in a new tab
3. UCD - Fill in the application details until complete
4. BO (mfared) - Set UCD group to Authorized Dealer and click ""Submit For Approval""
5. BO (jasons) - Click the Approve button in the BO Application form
6. UCD - Refresh the Application Link and upload the documents in Page 4
7. BO (mfared) - Open the Application Details > Registration Documents tab > Click Verified
8. UCD - Refresh the Application Link and Ensure system redirects to Application Page 5
","1. Select FPX (B2B)
2. Select Bank (CIMB Bank)
3. Click ""Submit and Pay""
4. Log in the payment sandbox
5. Complete TAC and choose Payment Status = Approved
6. Complete payment
7. Download the invoice and e-invoice
","1. After click ""Submit and Pay"", the Fiuu sandbox will open the CIMB Bank sandbox portal
2. After completing payment, system will display Application Payment Success page
3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved and Registration Fee = OK
",,Not Started,Need to change scenario with the B2B handling
12153_TS2,"Payment Method : FPX (B2B)
Bank : AmBank, Public Bank
Payment Status : Failed
","1. Open eAuto Login page and click ""Apply eAuto"". Complete Captcha verification
2. Fill in the Pre-Application form (Sole Proprietorship / Partnership) and click next
3. Tick the Declaration statement box","1. Select FPX (B2B)
2. Select Bank (AmBank)
3. Click ""Submit and Pay""
4. Log in the payment sandbox
5. Complete TAC and choose Payment Status = Failed (any failed status)
6. Observe the error message
7. Redo Payment until Payment Status = Success
8. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the Fiuu sandbox will open the AmBank sandbox portal
2. If Payment = Failed, system will redirect to Pre-Application page 2 (Business Info Review) with error message as below:
      Unsuccessfull Payment
      Something went wrong and your payment didn’t go through. Please choose a payment method and retry.

3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
","1. BO - Open Application Listing and view Pre-Application tab
2. BO - Copy the Application Link and open in a new tab
3. UCD - Fill in the application details until complete
4. BO (mfared) - Set UCD group to Authorized Dealer and click ""Submit For Approval""
5. BO (jasons) - Click the Approve button in the BO Application form
6. UCD - Refresh the Application Link and upload the documents in Page 4
7. BO (mfared) - Open the Application Details > Registration Documents tab > Click Verified
8. UCD - Refresh the Application Link and Ensure system redirects to Application Page 5
","1. Select FPX (B2B)
2. Select Bank (Public Bank)
3. Click ""Submit and Pay""
4. Log in the payment sandbox
5. Complete TAC and choose Payment Status = Failed (any failed status)
6. Observe the error message
7. Redo Payment until Payment Status = Success
8. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the Fiuu sandbox will open the Public Bank sandbox portal
2. If Payment = Failed, system will redirect to Application Page 5 with error message as below:
      Unsuccessfull Payment
      Something went wrong and your payment didn’t go through. Please choose a payment method and retry.

3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
",,Not Started,Need to change scenario with the B2B handling
12153_TS3,"Payment Method : FPX (B2C)
Bank : RHB, HongLeong Bank
Payment Status : Success
","1. Open eAuto Login page and click ""Apply eAuto"". Complete Captcha verification
2. Fill in the Pre-Application form (LLP) and click next
3. Tick the Declaration statement box","1. Select FPX (B2C)
2. Select Bank (RHB)
3. Click ""Submit and Pay""
4. Log in the payment sandbox
5. Complete TAC and choose Payment Status = Success
6. Complete payment
7. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the Fiuu sandbox will open the RHB sandbox portal
2. After completing payment, system will display the confirmation page ""Pre-Application Submitted for Review""
3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
","1. BO - Open Application Listing and view Pre-Application tab
2. BO - Copy the Application Link and open in a new tab
3. UCD - Fill in the application details until complete
4. BO (mfared) - Set UCD group to Authorized Dealer and click ""Submit For Approval""
5. BO (jasons) - Click the Approve button in the BO Application form
6. UCD - Refresh the Application Link and upload the documents in Page 4
7. BO (mfared) - Open the Application Details > Registration Documents tab > Click Verified
8. UCD - Refresh the Application Link and Ensure system redirects to Application Page 5
","1. Select FPX (B2C)
2. Select Bank (HongLeong Bank)
3. Click ""Submit and Pay""
4. Log in the payment sandbox
5. Complete TAC and choose Payment Status = Approved
6. Complete payment
7. Download the invoice and e-invoice
","1. After click ""Submit and Pay"", the Fiuu sandbox will open the HongLeong Bank sandbox portal
2. After completing payment, system will display Application Payment Success page
3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved and Registration Fee = OK
",,Not Started,
12153_TS4,"Payment Method : FPX (B2C)
Bank : HSBC, Affin Bank
Payment Status : Failed
","1. Open eAuto Login page and click ""Apply eAuto"". Complete Captcha verification
2. Fill in the Pre-Application form (Business Trading (Sabah)) and click next
3. Tick the Declaration statement box","1. Select FPX (B2C)
2. Select Bank (HSBC)
3. Click ""Submit and Pay""
4. Log in the payment sandbox
5. Complete TAC and choose Payment Status = Failed (any failed status)
6. Observe the error message
7. Redo Payment until Payment Status = Success
8. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the Fiuu sandbox will open the HSBC sandbox portal
2. If Payment = Failed, system will redirect to Pre-Application page 2 (Business Info Review) with error message as below:
      Unsuccessfull Payment
      Something went wrong and your payment didn’t go through. Please choose a payment method and retry.

3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
","1. BO - Open Application Listing and view Pre-Application tab
2. BO - Copy the Application Link and open in a new tab
3. UCD - Fill in the application details until complete
4. BO (mfared) - Set UCD group to Authorized Dealer and click ""Submit For Approval""
5. BO (jasons) - Click the Approve button in the BO Application form
6. UCD - Refresh the Application Link and upload the documents in Page 4
7. BO (mfared) - Open the Application Details > Registration Documents tab > Click Verified
8. UCD - Refresh the Application Link and Ensure system redirects to Application Page 5
","1. Select FPX (B2C)
2. Select Bank (Affin Bank)
3. Click ""Submit and Pay""
4. Log in the payment sandbox
5. Complete TAC and choose Payment Status = Failed (any failed status)
6. Observe the error message
7. Redo Payment until Payment Status = Success
8. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the Fiuu sandbox will open the Affin Bank sandbox portal
2. If Payment = Failed, system will redirect to Application Page 5 with error message as below:
      Unsuccessfull Payment
      Something went wrong and your payment didn’t go through. Please choose a payment method and retry.

3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
",,Not Started,
12153_TS5,"Payment Method : Card (Credit)
Card Type : VISA
Payment Status : Success
","1. Open eAuto Login page and click ""Apply eAuto"". Complete Captcha verification
2. Fill in the Pre-Application form (Business Trading (Sarawak)) and click next
3. Tick the Declaration statement box
","1. Select ""Credit or Debit Card""
2. Enter correct card details (Credit Card Details)
3. Click ""Pay MYR XXX.XX""
4. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the sandbox will open the card payment portal
2. After completing payment, system will display the confirmation page ""Pre-Application Submitted for Review""
3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
","1. BO - Open Application Listing and view Pre-Application tab
2. BO - Copy the Application Link and open in a new tab
3. UCD - Fill in the application details until complete
4. BO (mfared) - Set UCD group to Authorized Dealer and click ""Submit For Approval""
5. BO (jasons) - Click the Approve button in the BO Application form
6. UCD - Refresh the Application Link and upload the documents in Page 4
7. BO (mfared) - Open the Application Details > Registration Documents tab > Click Verified
8. UCD - Refresh the Application Link and Ensure system redirects to Application Page 5
","1. Select ""Credit or Debit Card""
2. Enter correct card details (Credit Card Details)
3. Click ""Pay MYR XXX.XX""
4. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the sanbox will open the card payment portal
2. After completing payment, system will display Application Payment Success page
3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved and Registration Fee = OK
",,Not Started,
12153_TS6,"Payment Method : Card (Debit)
Card Type : Mastercard
Payment Status : Failed > Success
","1. Open eAuto Login page and click ""Apply eAuto"". Complete Captcha verification
2. Fill in the Pre-Application form (Sdn Bhd / Bhd) and click next
3. Tick the Declaration statement box","1. Select ""Credit or Debit Card""
2. Enter invalid card details (Debit Card Details)
3. Click ""Pay MYR XXX.XX""
4. Observe the error message
5. Redo payment until Payment Status = Success
4. Complete payment
5. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the sanbox will open the card payment portal
2. If Payment = Failed, system will redirect to Pre-Application page 2 (Business Info Review) with error message as below:
      ""To confirm the exact error message""
3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
","1. BO - Open Application Listing and view Pre-Application tab
2. BO - Copy the Application Link and open in a new tab
3. UCD - Fill in the application details until complete
4. BO (mfared) - Set UCD group to Authorized Dealer and click ""Submit For Approval""
5. BO (jasons) - Click the Approve button in the BO Application form
6. UCD - Refresh the Application Link and upload the documents in Page 4
7. BO (mfared) - Open the Application Details > Registration Documents tab > Click Verified
8. UCD - Refresh the Application Link and Ensure system redirects to Application Page 5
","1. Select ""Credit or Debit Card""
2. Enter invalid card details (Debit Card Details)
3. Click ""Pay MYR XXX.XX""
4. Observe the error message
5. Redo payment until Payment Status = Success
4. Complete payment
5. At the payment details page, download invoice and e-invoice
","1. After click ""Submit and Pay"", the sanbox will open the card payment portal
2. If Payment = Failed, system will redirect to Application Page 5 with error message as below:
      Unsuccessfull Payment
      Something went wrong and your payment didn’t go through. Please choose a payment method and retry.

3. Ensure the details of the Invoice and e-Invoice is correct
4. Ensure in Pre-Application listing, it is Status = Approved
",,Not Started,To confirm the exact error message
12153_TS7,"Payment Method : QR Code
Payment Status : Success
",TBC with BA,,,,,,,Not Started,
12153_TS8,"Payment Method : QR Code
Payment Status : Failed
",,,,,,,,Not Started,
,,,,,,,,,,
